Start header					
	Number of sensors	3			
Sensor	2	Time	41	Value	-0.69267
Sensor	3	Time	41	Value	-0.604252
Sensor	1	Time	42	Value	-0.792933
Sensor	2	Time	42	Value	-0.623198
Sensor	3	Time	42	Value	-0.487387
Sensor	1	Time	43	Value	-0.416926
Sensor	2	Time	43	Value	-0.399539
Sensor	3	Time	43	Value	-0.347477
Sensor	1	Time	44	Value	-0.0303765
Sensor	2	Time	44	Value	0.172617
Sensor	3	Time	44	Value	-0.0148319
Sensor	1	Time	45	Value	0.308552
Sensor	2	Time	45	Value	0.309149
Sensor	3	Time	45	Value	0.117559
Sensor	1	Time	46	Value	0.00402996
Sensor	2	Time	46	Value	0.175783
Sensor	3	Time	46	Value	0.0128218
Sensor	1	Time	47	Value	-0.0744699
Sensor	2	Time	47	Value	0.0945896
Sensor	3	Time	47	Value	0.0206166
Sensor	1	Time	48	Value	-0.173734
Sensor	2	Time	48	Value	-0.293542
Sensor	3	Time	48	Value	-0.195252
Sensor	1	Time	49	Value	-0.0513325
Sensor	2	Time	49	Value	-0.119569
Sensor	3	Time	49	Value	0.0880624
Sensor	1	Time	50	Value	0.118859
Sensor	2	Time	50	Value	0.023266
Sensor	3	Time	50	Value	0.167804
Sensor	1	Time	51	Value	0.26619
Sensor	2	Time	51	Value	0.210977
Sensor	3	Time	51	Value	0.198287
Sensor	1	Time	52	Value	-0.031854
Sensor	2	Time	52	Value	-0.00507722
Sensor	3	Time	52	Value	-0.0745966
Sensor	1	Time	53	Value	-0.186112
Sensor	2	Time	53	Value	-0.0360319
Sensor	3	Time	53	Value	-0.0176847
Sensor	1	Time	54	Value	-0.158823
Sensor	2	Time	54	Value	-0.0634104
Sensor	3	Time	54	Value	-0.143239
Sensor	1	Time	55	Value	0.0630009
Sensor	2	Time	55	Value	0.11844
Sensor	3	Time	55	Value	0.154047
Sensor	1	Time	56	Value	0.24039
Sensor	2	Time	56	Value	0.0070898
Sensor	3	Time	56	Value	0.0993893
Sensor	1	Time	57	Value	0.0634905
Sensor	2	Time	57	Value	-0.0232497
Sensor	3	Time	57	Value	0.0444666
Sensor	1	Time	58	Value	-0.128899
Sensor	2	Time	58	Value	-0.191836
Sensor	3	Time	58	Value	-0.0355451
Sensor	1	Time	59	Value	0.0011959
Sensor	2	Time	59	Value	0.145861
Sensor	3	Time	59	Value	-0.0816197
Sensor	1	Time	60	Value	-0.000115466
Sensor	2	Time	60	Value	-0.071168
Sensor	3	Time	60	Value	-0.210134
Sensor	1	Time	61	Value	-0.0228089
Sensor	2	Time	61	Value	-0.173749
Sensor	3	Time	61	Value	-0.347207
Sensor	1	Time	62	Value	-0.386729
Sensor	2	Time	62	Value	-0.594326
Sensor	3	Time	62	Value	-0.604874
Sensor	1	Time	63	Value	-0.616505
Sensor	2	Time	63	Value	-0.381555
Sensor	3	Time	63	Value	-0.365006
Sensor	1	Time	64	Value	-0.507576
Sensor	2	Time	64	Value	-0.37606
Sensor	3	Time	64	Value	-0.353455
Sensor	1	Time	65	Value	-0.412413
Sensor	2	Time	65	Value	-0.294045
Sensor	3	Time	65	Value	-0.223447
Sensor	1	Time	66	Value	-0.013394
Sensor	2	Time	66	Value	-0.137595
Sensor	3	Time	66	Value	0.0938243
Sensor	1	Time	67	Value	0.192507
Sensor	2	Time	67	Value	0.337719
Sensor	3	Time	67	Value	0.262681
Sensor	1	Time	68	Value	0.341075
Sensor	2	Time	68	Value	0.14368
Sensor	3	Time	68	Value	0.169941
Sensor	1	Time	69	Value	0.0127254
Sensor	2	Time	69	Value	-0.079541
Sensor	3	Time	69	Value	-0.170012
Sensor	1	Time	70	Value	-0.0831256
Sensor	2	Time	70	Value	-0.219331
Sensor	3	Time	70	Value	-0.281295
Sensor	1	Time	71	Value	-0.211649
Sensor	2	Time	71	Value	-0.256207
Sensor	3	Time	71	Value	-0.127588
Sensor	1	Time	72	Value	-0.423539
Sensor	2	Time	72	Value	-0.194487
Sensor	3	Time	72	Value	-0.127062
Sensor	1	Time	73	Value	0.0331885
Sensor	2	Time	73	Value	0.139858
Sensor	3	Time	73	Value	0.375769
Sensor	1	Time	74	Value	0.1561
Sensor	2	Time	74	Value	0.554183
Sensor	3	Time	74	Value	0.428643
Sensor	1	Time	75	Value	1.04539
Sensor	2	Time	75	Value	0.742199
Sensor	3	Time	75	Value	0.716675
Sensor	1	Time	76	Value	0.549792
Sensor	2	Time	76	Value	0.508182
Sensor	3	Time	76	Value	0.453357
Sensor	1	Time	77	Value	0.752544
Sensor	2	Time	77	Value	0.583229
Sensor	3	Time	77	Value	0.663654
Sensor	1	Time	78	Value	0.463682
Sensor	2	Time	78	Value	0.494684
Sensor	3	Time	78	Value	0.501723
Sensor	1	Time	79	Value	0.512444
Sensor	2	Time	79	Value	0.333297
Sensor	3	Time	79	Value	0.442133
Sensor	1	Time	80	Value	0.0179378
Sensor	2	Time	80	Value	-0.0081038
Sensor	3	Time	80	Value	-0.120914
Sensor	1	Time	81	Value	-0.166722
Sensor	2	Time	81	Value	0.0491885
Sensor	3	Time	81	Value	0.184862
Sensor	1	Time	82	Value	0.185883
Sensor	2	Time	82	Value	0.138496
Sensor	3	Time	82	Value	-0.277669
Sensor	1	Time	83	Value	0.0102841
Sensor	2	Time	83	Value	-0.0329628
Sensor	3	Time	83	Value	0.0403141
Sensor	1	Time	84	Value	-0.166614
Sensor	2	Time	84	Value	-0.24118
Sensor	3	Time	84	Value	-0.394122
Sensor	1	Time	85	Value	-0.584612
Sensor	2	Time	85	Value	-0.460197
Sensor	3	Time	85	Value	-0.29959
Sensor	1	Time	86	Value	-0.579704
Sensor	2	Time	86	Value	-0.552089
Sensor	3	Time	86	Value	-0.707795
Sensor	1	Time	87	Value	-0.598728
Sensor	2	Time	87	Value	-0.639515
Sensor	3	Time	87	Value	-0.834251
Sensor	1	Time	88	Value	-0.80586
Sensor	2	Time	88	Value	-0.772615
Sensor	3	Time	88	Value	-0.700364
Sensor	1	Time	89	Value	-0.569222
Sensor	2	Time	89	Value	-0.458693
Sensor	3	Time	89	Value	-0.288748
Sensor	1	Time	90	Value	-0.356851
Sensor	2	Time	90	Value	-0.299325
Sensor	3	Time	90	Value	0.0582884
Sensor	1	Time	91	Value	0.209245
Sensor	2	Time	91	Value	0.156814
Sensor	3	Time	91	Value	0.424587
Sensor	1	Time	92	Value	0.569625
Sensor	2	Time	92	Value	0.439668
Sensor	3	Time	92	Value	0.300859
Sensor	1	Time	93	Value	0.337863
Sensor	2	Time	93	Value	0.461843
Sensor	3	Time	93	Value	0.570908
Sensor	1	Time	94	Value	0.31223
Sensor	2	Time	94	Value	0.381914
Sensor	3	Time	94	Value	0.180851
Sensor	1	Time	95	Value	-0.0419913
Sensor	2	Time	95	Value	-0.0929885
Sensor	3	Time	95	Value	0.102116
Sensor	1	Time	96	Value	0.167606
Sensor	2	Time	96	Value	0.0925414
Sensor	3	Time	96	Value	-0.190933
Sensor	1	Time	97	Value	0.0573589
Sensor	2	Time	97	Value	0.0641528
Sensor	3	Time	97	Value	-0.0627607
Sensor	1	Time	98	Value	0.0814601
Sensor	2	Time	98	Value	0.112461
Sensor	3	Time	98	Value	-0.0912216
Sensor	1	Time	99	Value	-0.0371848
Sensor	2	Time	99	Value	-0.039309
Sensor	3	Time	99	Value	-0.153209
Sensor	1	Time	100	Value	-0.138225
Sensor	2	Time	100	Value	-0.0115746
Sensor	3	Time	100	Value	0.567329
End data					
